name,phone_numbers,officialPhone,email,websites,officialWebsite,facebookLink,address_line1,address_line2,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,description,specialties,procedure,equipment,capability,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
32 Dental Spa,"[""+919762388667""]",+919762388667,32dentalspa.pune@gmail.com,"[""https://www.whatclinic.com/dentists/india/pune/32-dental-spa"",""https://www.justdial.com/Pune/32-Dental-Spa-Above-Chaitanya-Paratha-House-Near-Datta-Mandir-Opposite-to-Prime-Rose-Mall-Baner/020PXX20-XX20-131223160004-T3Y4_BZDET/photos"",""https://www.whatclinic.com/dentists/india/pune/gum-surgery"",""https://www.indiamart.com/dentalspa/"",""https://www.facebook.com/652725341456190"",""https://www.practo.com/pune/doctor/dr-mahavir-sarnot-dentist"",""http://www.32dentalspa.com/"",""https://www.justdial.com/Pune/32-Dental-Spa-Above-Chaitanya-Paratha-House-Near-Datta-Mandir-Opposite-To-Prime-Rose-Mall-Baner/020PXX20-XX20-131223160004-T3Y4_BZDET"",""32dentalspa.com""]",32dentalspa.com,https://www.facebook.com/652725341456190,"3, Laxmi Plaza","Above Chaitanya Paratha House, Near Datta Mandir",Pune,Maharashtra,411045.0,India,IN,dentist,private,"Dental institute providing comprehensive services for dental implants, laser treatment, and cosmetic dentistry.","[""endodontics"",""dentistry"",""cosmeticDentistry"",""familyMedicine""]","[""Provides dental implant treatment"",""Offers dental implant procedures"",""Provides laser dental treatment"",""Offers cosmetic dentistry"",""Provides cosmetic dentistry services"",""Offers specialised dental treatment"",""Offers routine dental procedure"",""Offers dental laser treatments""]","[""On-site dental X-ray centres""]","[""Outpatient dental care"",""Specializes in laser dentistry"",""Has operated for 12 years in healthcare"",""Dentist with MDS on staff"",""Has 10 years of operation"",""Located in Pune, Maharashtra, India"",""Specializes in dental implants"",""Listed as a top endodontics clinic in Shivajinagar"",""Specializes in cosmetic dentistry"",""Outpatient dental services"",""Located in Baner, Pune, Maharashtra"",""Endodontics clinic located in Shivajinagar, Pune""]",3.0,true,true,555.0,566.0,null,18.54219436645500,73.8281860351562
32 Diamonds Smile,"[""+919355066610""]",null,null,"[""https://www.justdial.com/Delhi/32-Diamonds-Smile-Opposite-Select-Citywalk-Mall-Malviya-Nagar/011PXX11-XX11-240410120122-P8S7_BZDET"",""https://32-diamonds-smile-dental-clinic.odoo.com/""]",https://32-diamonds-smile-dental-clinic.odoo.com/,https://www.facebook.com/215573648315050,"T, 88c",Opposite Select Citywalk Mall,Malviya Nagar,Delhi,110017.0,India,IN,clinic,private,null,"[""endodontics"",""pediatricDentistry"",""familyMedicine""]","[""Tooth reshaping is offered at 32 Diamonds Smile"",""Root canal treatment (RCT) is offered at 32 Diamonds Smile""]","[""Dental chair with overhead operatory light""]","[""Dental clinic providing outpatient dental care"",""Specializes in root canal therapy"",""Specializes in cosmetic tooth reshaping""]",null,true,null,null,null,null,28.53078651428220,77.2204055786132
32 Gems Dental Clinic,"[""09891755273""]",null,null,"[""https://32gemsdentalclinic.ueniweb.com/""]",https://32gemsdentalclinic.ueniweb.com/,null,Sanjay Colony Main Road 3,null,Faridabad,Haryana,121005.0,India,IN,clinic,private,"Finest Dental Clinic in Faridabad. Located in Faridabad, 32 Gems Dental Clinic welcomes all patients seeking professional and dedicated dental care. We cater to patients of all ages and take great pleasure in making your dental care experience enjoyable and as comfortable as possible. We provide high-quality dental care services in our relaxing, modern clinic. We use the latest dental technology, state-of-the-art facilities, and our clinicians have achieved the highest level of generalist dental education, with many also specialising in orthodontics and dental implants. Amenities include parking, debit & credit cards accepted, and by appointment only. Opening hours: Sunday Closed; Monday–Friday 9:00 AM–7:00 PM; Saturday Closed.","[""familyMedicine"",""dentistry"",""orthodontics""]","[""Dental examination with classic cleaning"",""Dental examination"",""Child dental examination"",""Adult dental examination""]",null,"[""Clinicians have achieved the highest level of generalist dental education, with many specializing in orthodontics and dental implants"",""Uses market-leading products for dental procedures"",""Consultation rooms are equipped with state-of-the-art facilities""]",2.0,true,false,null,null,null,28.35308837890620,77.2971343994140
32 Gems multispeciality dental clinic &Implant centre,"[""+919400682198"",""+919562582198""]",+919400682198,drsrishanthsreeshylam@gmail.com,"[""https://www.facebook.com/drsrishanth/"",""https://www.facebook.com/1671144939817610""]",null,https://www.facebook.com/1671144939817610,Ponniam Palam,null,Thalassery,Kerala,670694.0,India,IN,clinic,private,"Our services include: Pedodontics, Orthodontics, Root canal treatment, Complete denture & partial denture","[""familyMedicine"",""orthodontics"",""prosthodontics"",""endodontics"",""pediatricDentistry""]","[""Prosthetic rehabilitation"",""Partial denture"",""Orthodontics"",""Pedodontics"",""Root canal treatment"",""Complete denture"",""Zirconia crown placement""]",null,"[""Prosthetic rehabilitation provided"",""Implant centre"",""Multispeciality dental clinic""]",1.0,null,false,821.0,818.0,null,11.78105926513670,75.5402679443359
32 Kings Dental Clinic,"[""+919995816855"",""+919744409147""]",+919744409147,null,"[""https://www.32kingsdentalclinic.com/""]",https://www.32kingsdentalclinic.com/,https://www.facebook.com/494105440450606,"Penta Tower, First Floor","Opposite Metro Pillar No 595, Near Kaloor Metro Station",Kaloor,Kochi,682017.0,India,IN,clinic,null,"32 Kings Dental Clinic, Kochi and Perumbavoor, offers laser dentistry, general dentistry, cosmetic dentistry, dental implants, and emergency dental care. It continues the legacy of Madathil Dental Clinic, serving the Perumbavoor community since 1980.","[""familyMedicine"",""generalDentistry"",""prosthodontics"",""cosmeticDentistry"",""emergencyMedicine""]","[""Offers laser dentistry"",""Provides general dentistry for all ages"",""Offers cosmetic dentistry"",""Offers emergency dental care"",""Provides dental implants""]","[""Uses state-of-the-art dental equipment"",""Image shows dental examination instruments (mirror, probes) on a tray""]","[""Operates in Kochi and Perumbavoor, Kerala, India"",""Originates from Madathil Dental Clinic and has served the Perumbavoor community since 1980"",""Outpatient dental clinic""]",2.0,true,true,null,null,null,9.99436569213867,76.2911529541015
32 Pearl Dental Clinic,"[""+919179855454""]",+919179855454,null,"[""https://www.facebook.com/468830373618285""]",null,https://www.facebook.com/468830373618285,"Above Rameshwar Mandir, Behind Civil Hospital Sabzi Bazar",null,Thandla,Madhya Pradesh,457777.0,India,IN,clinic,private,We are here to serve comprehensive oral care to you and your family. All types of Dental treatments are available at our Hi-tech Dental Office.,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,23.00627708435050,74.5776367187500
32 PEARLs Advanced Dental Care Centre Santokhgarh,"[""+919418787080""]",+919418787080,32pearlsdentalhospital@gmail.com,"[""32pearlsdentalhospital.jimdo.com"",""http://lacartes.com/dentist_in_una-nangal"",""https://www.facebook.com/113788292129034"",""https://www.facebook.com/211838225632970"",""https://santokhgarh.himachalonline.in/guide/32-pearls-dental-hospital-santokhgarh""]",32pearlsdentalhospital.jimdo.com,https://www.facebook.com/113788292129034,Near Bus Stand,Nr New Bus Stand,Santokhgarh,Himachal Pradesh,174301.0,India,IN,dentist,private,"Orthodontic treatment, Root Canal Treatment (R.C.T), fracture treatment, teeth whitening","[""internalMedicine"",""endodontics"",""orthodontics"",""aestheticDentistry""]","[""Performs root canal treatment (RCT)"",""Mandible fracture treatment (simple cases and open reduction)"",""Laser light cure fillings (Silver filling, Light cure filling, GIC filling)"",""Fixed teeth - bridges and crowns (Porcelain crown, Metal crown, Porcelain DLX)"",""Dentures offered (Complete dentures classic, Complete Denture Lucitone, Partial dentures)"",""Offers orthodontic treatment"",""Orthodontic treatment with braces"",""Extraction and impactions (Third molar extraction, Simple tooth extraction, Impactions)"",""Teeth whitening"",""Performs autotransplantation of teeth (tooth 28 transplanted to position 26)."",""Root Canal Treatment is offered"",""Provides teeth whitening"",""Provides fracture treatment""]",[],"[""Located in Santokhgarh, Una, Himachal Pradesh"",""Implant and Orthodontic dental hospital signage visible in property"",""Follows WHO standards for sterilization and hygiene including hand washing, PPE, glove changes, sterilization of non-disposable items, use of disposable instruments, antimicrobial disinfection"",""Founded on 21 June 2006"",""Specializes in dental implants and orthodontic treatment"",""Dr. Aman Prashar governs the hospital""]",1.0,true,null,484.0,485.0,16.0,31.35682106018060,76.3125457763671
32 Pearls Dental Care,"[""+919953284849"",""+919560034059""]",+919953284849,info@32pearlsdentalcare.com,"[""https://www.lybrate.com/faridabad/clinic/32-pearls-dental-care-ashoka-enclave"",""32pearlsdentalcare.com"",""https://32pearlsdentalcare.com/about-us/contact/"",""https://32pearlsdentalcare.com/"",""https://www.facebook.com/1706771582673121"",""https://www.drlogy.com/ayushman-bharat/hospitals/haryana/faridabad/32-pearls-dental-care-multispeciality-dental-clinic"",""https://www.bharatibiz.com/gurunanak-optical-dental-care-097186-44423""]",32pearlsdentalcare.com,https://www.facebook.com/189287540933164,C- 96 Ashoka Enclave Part 2,Near Iskon Temple Geeta Bhavan,Faridabad,Haryana,121002.0,India,IN,dentist,private,Our mission is to blend state-of-the-art medical technology & research with a dedication to patient welfare & healing to provide you with the best possible health care.,"[""dentistry"",""familyMedicine""]","[""Oral-Antral Fistula Repair"",""Correction of oro-antral communication"",""Dentoalveolar trauma - wiring"",""Fixation of fracture of jaw"",""Jaw Bone Infection Surgery"",""Jaw Cyst and Tumor Surgery"",""Apicoectomy (A) Tooth"",""Extraction of impacted tooth under LA"",""Mouth Fibrosis Surgery"",""Offers teeth aligners"",""Offers dental braces"",""Jaw Wiring for Fracture"",""Oral & Maxillofacial Surgery"",""Jaw Fracture Fixation"",""Oral and Jaw Surgery"",""Jaw Joint Stiffness Surgery"",""Mandible Tumour Resection and reconstruction / Cancer surgery"",""Impacted Tooth Removal"",""Offers dental implant surgery"",""Jaw Cancer Surgery""]",[],"[""Has 1 doctor on staff"",""Ayushman card facility provides comprehensive care"",""Ayushman card facility provides financial protection against high medical expenses"",""Awarded Best Patient Care in 2014"",""Awarded Best Patient Care in 2017"",""Ayushman card facility provides free medical treatment"",""Ayushman card facility provides medical insurance cover up to Rs. 5 lakh"",""Operates a dental clinic"",""Awarded Best Practice & Team in 2016"",""Ayushman card facility provides wide coverage of medical procedures and treatments"",""Specializes in 27+ oral and maxillofacial surgeries"",""Private hospital"",""Outpatient dental clinic in Faridabad, Haryana, India"",""Located in Faridabad, Haryana"",""Empanelled under Ayushman Bharat PM-JAY scheme"",""Offers 2+ treatment options""]",3.0,true,false,null,null,null,28.39296150207510,77.3020324707031
32 Pearls Dental Clinic,"[""+919386329037""]",+919386329037,32pearlsdentalclinicdhanbad@gmail.com,"[""https://www.medindia.net/directories/hospitals/32-pearls-dental-clinic-dhanbad-jharkhand-16431.htm"",""https://www.indiamart.com/32pearls-dental-dhanbad/aboutus.html"",""https://www.facebook.com/32pearldental/"",""https://32pearlsdentalclinic.com/"",""https://searchincity.in/business/jh-361306-32-pearls-dental-clinic.html"",""https://www.indiamart.com/32pearls-dental-dhanbad/"",""http://32pearlsdentalclinic.com/"",""32pearlsdentalclinic.com"",""https://www.healthfrog.in/doctor/suyash-clinic-dhanbad-jharkhand-@wgc4ghva.html""]",32pearlsdentalclinic.com,https://www.facebook.com/116457201430185,Opposite Pandit Clinic,"Bartand, Near Bus Stand",Dhanbad,Jharkhand,826001.0,India,IN,clinic,private,32 Pearls Dental Clinic is a multispeciality dental clinic & Implant Centre in India.,"[""familyMedicine"",""orthodontics"",""prosthodontics"",""cosmeticDentistry"",""endodontics"",""pediatricDentistry"",""dentistry""]","[""Full Mouth Rehabilitation"",""Tooth-supported fixed bridges"",""Emergency dental services"",""Complete dentures and implant-supported dentures"",""Child dental care with treatment planning considering age and mood and behavior management"",""Laser dentistry using dental lasers for oral surgery, caries removal and tooth preparation, soft tissue contouring, osseous crown lengthening, periodontology and endodontics"",""Cosmetic tooth filling"",""IOPA X-ray imaging for patients"",""Dental Hygiene"",""Cavity treatment using ART (Atraumatic Restorative Techniques)"",""Cosmetic dentistry with Smile Design"",""Root canal treatment"",""Dental & Oral X-ray"",""Implant"",""Surgical removal of cyst"",""Extraction of tooth"",""Scaling of teeth (cleaning)"",""Treatment of jaw pain and fractured jaw"",""Oral Appliance Therapy"",""Anti Aging Dental Treatment including teeth contouring, whitening, removal of cracks and dark lines from front surface, replacement of missing teeth, closing gaps between teeth and gums, and reducing skin folds at corners of mouth"",""Orthodontics braces and aligners by visiting orthodontist"",""Fixed ceramic teeth (crowns and bridges) restorations""]","[""Intraoral camera with display monitor as seen in clinic photographs"",""Dental laser system used for laser dentistry"",""IOPA X-ray imaging equipment for dental diagnostics"",""Dental chair (as pictured in clinic photographs)""]","[""Located in Dhanbad, Jharkhand"",""Private hospital"",""Established on May 10, 2010"",""Has 14 years of dental service experience"",""Has been operating for 15 years"",""Pioneer in starting cashless facility in dental treatment"",""Category: HEALTHCARE / Dentist"",""Year of Experience: 15 yrs"",""Empanelled with IIT (ISM) since 2016"",""Establishment Year: 2010"",""Has served 24,000 patients"",""Member Since: 22-03-2025"",""Dental clinic in Dhanbad, Jharkhand"",""Cashless facility for CIMFR and IIT (ISM) employees, pensioners, and their dependents"",""Empanelled with CIMFR since 2015"",""Operates Branch-2 in Dhanbad, Jharkhand"",""Specializes in cosmetic dentistry, pediatric dentistry, laser dentistry, and anti-aging dental treatments"",""Has 5 qualified doctors"",""Orthodontic treatment provided by visiting orthodontist"",""Has 5 dental awards"",""Dental clinic (inferred from name)""]",3.0,true,true,48.0,null,null,23.80926704406730,86.4329833984375
"32 Pearls Dental Clinic (Kaladhungi Rd, Unchapul, Haldwani, Uttarakhand 263139)","[""+919410166882""]",+919410166882,tripathiruchir@yahoo.com,"[""https://www.medindia.net/directories/hospitals/32-pearls-dental-clinic-haldwani-uttarakhand-72549.htm"",""https://www.indiadentalworld.com/dental-clinic/Haldwani/32-Pearls-Dental-Clinic/Dr-Jaimin-Patel"",""digitalpandeg.tech"",""https://digitalpandeg.tech/"",""https://www.medindia.net/directories/hospitals/uttarakhand/haldwani/index.htm"",""https://www.facebook.com/32-Pearls-Dental-Clinic-Implant-and-Orthodontic-Centre-Haldwani-300556849996872/"",""https://www.facebook.com/300556849996872""]",digitalpandeg.tech,https://www.facebook.com/300556849996872,Kaladhungi Rd,Unchapul,Haldwani,Uttarakhand,263139.0,India,IN,clinic,private,"32 Pearls Dental Clinic is one of the well-known clinics in Haldwani, Haldwani offering best dental treatment services. The clinic has experienced dentists and consultants. The page also references Dr Jaimin Patel as a consultant at the clinic.","[""familyMedicine"",""orthodontics"",""dentistry"",""prosthodontics""]","[""Provides dentures to enhance smile and esthetics""]",[],[],1.0,false,false,902.0,null,null,29.22455215454100,79.4999694824218
32 Pearls Multi Speciality Dental Clinic,"[""+919999955440"",""+919312247258""]",+919999955440,dentistrybeyondartistry@gmail.com,"[""drtarunahuja.com"",""https://www.justdial.com/Delhi/Dr-Tushar-Tooth-And-Gum-Solution-Opposite-Govt-School-Sunder-Nagri/011PXX11-XX11-210903192333-D3P9_BZDET/amp"",""https://www.facebook.com/262433643891715"",""https://www.facebook.com/1792004991097385"",""https://drtarunahuja.com/"",""32pearlsdentalandimplant.in"",""http://www.onefivenine.com/india/villages/North-East-Delhi/North-East-Delhi/University-Enclave"",""https://www.justdial.com/Delhi/32-Pearls-Multispeciality-Dental-Clinic-Opposite-Ndpl-Office-Vijay-Nagar/011PXX11-XX11-110209104947-R4J5_BZDET""]",drtarunahuja.com,https://www.facebook.com/262433643891715,"G-15, Single Storey, Block G",Vijay Nagar,Delhi,Delhi,110009.0,India,IN,dentist,private,"Dental clinic providing comprehensive services including extractions, implants, orthodontics, and emergency care.","[""familyMedicine"",""orthodontics"",""prosthodontics"",""oralAndMaxillofacialSurgery"",""cosmeticDentistry"",""endodontics"",""pediatricDentistry"",""dentistry"",""aestheticDentistry""]","[""Provides dental extractions"",""Offers orthodontic treatment"",""Provides emergency dental care"",""Performs fixed prosthodontics"",""Provides oral and maxillofacial surgery"",""Offers dental implant treatment"",""Performs conservative dentistry procedures"",""Performs implant-retained dentures"",""Performs laser dentistry procedures""]","[""Dental implant model for demonstration"",""Dental delivery unit with handpieces"",""Dental chair with overhead light""]","[""Dental clinic"",""Provides emergency dental care"",""Outpatient care"",""Has 55 years of experience in healthcare"",""Located behind Karuna Hospital"",""Located in Dilshad Colony, Delhi, India"",""Offers orthodontic, implant, and oral and maxillofacial surgery services"",""Staff includes Dr Musharib Ahmed""]",1.0,true,true,null,null,null,28.69453620910640,77.2039718627929
32 Phoenix,"[""+919650780998"",""+919958398144""]",+919958398144,phoenix.medident@gmail.com,"[""phoenixdentalsolutions.in"",""http://www.phoenixdentalsolutions.in/"",""https://www.facebook.com/632768090258823""]",phoenixdentalsolutions.in,https://www.facebook.com/632768090258823,"First Floor, Max Hospital",Vaishali,Ghaziabad,Uttar Pradesh,110092.0,India,IN,clinic,private,"All Dental Services for Vaishali, Noida , Gaziabad and east delhi area","[""dentistry"",""familyMedicine""]",[],[],"[""Provides all dental services for Vaishali, Noida, Ghaziabad and East Delhi area"",""Offers general dentistry services""]",1.0,false,null,null,null,null,28.63460540771480,77.3328857421875
32 Point Dental Clinic And Military Pharmacy,"[""+917678599301""]",null,null,"[""https://www.justdial.com/Bangalore/32-Point-Dental-Clinic-And-Military-Pharmacy-Opposite-Snn-Bommanahalli/080PXX80-XX80-220811001715-W2C4_BZDET""]",null,https://www.facebook.com/249244238272623,"Shop No.03, No.59/1, Opposite Snn, Begur Koppa Road",null,Bangalore,Karnataka,560068.0,India,IN,clinic,null,"Dental clinic and military pharmacy located in Bommanahalli, Bangalore, Karnataka, India. Services include Root Canal (RCT) and Laser Dentistry.","[""familyMedicine""]","[""Root canal treatment (RCT)"",""Laser dentistry""]",null,"[""Multispeciality dental clinic"",""Outpatient services"",""On-site pharmacy""]",null,null,null,null,null,null,12.85879325866690,77.6114196777343
